date_block_num,item_id,item_cnt_day
0,19,1.0
0,27,7.0
0,28,8.0
0,29,4.0
0,32,299.0
0,33,61.0
0,34,9.0
0,35,78.0
0,40,4.0
0,41,9.0
0,42,2.0
0,43,2.0
0,44,6.0
0,45,8.0
0,46,2.0
0,47,6.0
0,48,7.0
0,49,5.0
0,50,2.0
0,51,13.0
0,52,7.0
0,53,8.0
0,54,6.0
0,55,4.0
0,56,1.0
0,57,1.0
0,59,18.0
0,60,6.0
0,61,2.0
0,63,4.0
0,72,4.0
0,73,1.0
0,75,8.0
0,84,1.0
0,85,17.0
0,86,1.0
0,88,7.0
0,89,4.0
0,93,7.0
0,94,3.0
0,95,7.0
0,96,9.0
0,98,361.0
0,109,3.0
0,111,4.0
0,113,8.0
0,115,4.0
0,133,7.0
0,136,2.0
0,149,12.0
0,151,4.0
0,152,2.0
0,153,12.0
0,154,28.0
0,155,22.0
0,156,22.0
0,177,3.0
0,197,4.0
0,198,1.0
0,199,4.0
0,200,2.0
0,202,3.0
0,210,9.0
0,213,10.0
0,215,1.0
0,226,2.0
0,228,4.0
0,230,2.0
0,244,1.0
0,246,1.0
0,257,4.0
0,258,6.0
0,259,6.0
0,263,1.0
0,265,3.0
0,267,4.0
0,276,4.0
0,277,4.0
0,282,3.0
0,306,6.0
0,308,3.0
0,316,1.0
0,317,3.0
0,320,4.0
0,321,2.0
0,325,4.0
0,329,6.0
0,333,1.0
0,335,1.0
0,351,4.0
0,354,6.0
0,357,1.0
0,366,4.0
0,371,3.0
0,372,6.0
0,373,3.0
0,375,3.0
0,384,7.0
0,385,3.0
0,388,4.0
0,389,6.0
0,407,2.0
0,408,4.0
0,410,16.0
0,413,6.0
0,421,7.0
0,423,1.0
0,424,2.0
0,435,3.0
0,438,5.0
0,439,2.0
0,448,4.0
0,451,3.0
0,453,2.0
0,464,38.0
0,471,31.0
0,474,1.0
0,478,11.0
0,479,6.0
0,481,26.0
0,482,118.0
0,484,176.0
0,491,41.0
0,496,15.0
0,498,14.0
0,534,37.0
0,535,3.0
0,541,3.0
0,553,5.0
0,556,35.0
0,560,26.0
0,591,2.0
0,621,1.0
0,628,1.0
0,631,1.0
0,637,1.0
0,638,4.0
0,642,36.0
0,648,1.0
0,651,38.0
0,657,38.0
0,660,1.0
0,668,1.0
0,677,39.0
0,686,1.0
0,687,41.0
0,690,1.0
0,699,5.0
0,700,77.0
0,708,1.0
0,715,16.0
0,783,1.0
0,784,10.0
0,785,71.0
0,790,1.0
0,791,90.0
0,795,16.0
0,802,9.0
0,804,35.0
0,807,1.0
0,808,2.0
0,810,15.0
0,813,1.0
0,816,6.0
0,818,1.0
0,819,3.0
0,824,1.0
0,828,1.0
0,829,16.0
0,831,8.0
0,832,43.0
0,834,2.0
0,835,37.0
0,839,74.0
0,887,1.0
0,937,1.0
0,944,24.0
0,945,6.0
0,947,9.0
0,952,2.0
0,953,13.0
0,954,2.0
0,963,88.0
0,965,11.0
0,970,14.0
0,971,13.0
0,975,3.0
0,977,9.0
0,987,12.0
0,989,22.0
0,990,28.0
0,991,31.0
0,992,20.0
0,993,34.0
0,994,3.0
0,995,10.0
0,996,15.0
0,997,6.0
0,998,41.0
0,999,32.0
0,1000,34.0
0,1001,25.0
0,1002,33.0
0,1003,25.0
0,1004,48.0
0,1005,20.0
0,1006,39.0
0,1007,12.0
0,1008,30.0
0,1010,8.0
0,1011,1.0
0,1013,78.0
0,1015,8.0
0,1016,48.0
0,1017,31.0
0,1018,15.0
0,1021,48.0
0,1022,23.0
0,1023,26.0
0,1025,34.0
0,1026,17.0
0,1027,10.0
0,1029,4.0
0,1031,8.0
0,1032,17.0
0,1034,19.0
0,1036,10.0
0,1037,12.0
0,1047,3.0
0,1048,4.0
0,1049,3.0
0,1050,2.0
0,1051,1.0
0,1052,1.0
0,1053,1.0
0,1054,3.0
0,1055,2.0
0,1056,3.0
0,1058,8.0
0,1059,2.0
0,1060,2.0
0,1064,1.0
0,1065,14.0
0,1067,11.0
0,1068,1.0
0,1069,2.0
0,1070,2.0
0,1071,1.0
0,1072,12.0
0,1079,3.0
0,1081,9.0
0,1082,9.0
0,1085,4.0
0,1091,7.0
0,1092,2.0
0,1093,1.0
0,1095,1.0
0,1096,1.0
0,1097,8.0
0,1098,3.0
0,1101,14.0
0,1102,21.0
0,1103,9.0
0,1105,5.0
0,1106,1.0
0,1107,1.0
0,1109,9.0
0,1110,8.0
0,1112,17.0
0,1113,6.0
0,1118,9.0
0,1119,6.0
0,1122,7.0
0,1124,4.0
0,1126,12.0
0,1128,1.0
0,1131,12.0
0,1132,6.0
0,1135,1.0
0,1136,1.0
0,1137,2.0
0,1140,1.0
0,1142,5.0
0,1143,13.0
0,1144,12.0
0,1151,14.0
0,1153,3.0
0,1164,2.0
0,1165,1.0
0,1166,2.0
0,1167,13.0
0,1168,1.0
0,1187,8.0
0,1192,1.0
0,1195,7.0
0,1201,15.0
0,1202,1.0
0,1203,5.0
0,1204,13.0
0,1205,2.0
0,1206,2.0
0,1210,1.0
0,1213,1.0
0,1216,6.0
0,1217,25.0
0,1218,1.0
0,1219,4.0
0,1222,3.0
0,1223,2.0
0,1224,16.0
0,1225,2.0
0,1226,4.0
0,1227,5.0
0,1228,4.0
0,1234,1.0
0,1235,15.0
0,1236,8.0
0,1241,8.0
0,1242,3.0
0,1243,46.0
0,1244,1.0
0,1247,43.0
0,1249,167.0
0,1257,1.0
0,1259,9.0
0,1260,1.0
0,1261,6.0
0,1264,1.0
0,1265,1.0
0,1266,15.0
0,1267,1.0
0,1268,1.0
0,1269,1.0
0,1270,9.0
0,1271,3.0
0,1272,2.0
0,1273,7.0
0,1274,2.0
0,1276,1.0
0,1277,1.0
0,1279,3.0
0,1280,2.0
0,1283,4.0
0,1291,2.0
0,1292,2.0
0,1300,5.0
0,1301,8.0
0,1302,51.0
0,1304,14.0
0,1308,5.0
0,1311,5.0
0,1313,3.0
0,1315,19.0
0,1316,2.0
0,1317,4.0
0,1318,29.0
0,1320,3.0
0,1321,10.0
0,1326,7.0
0,1329,7.0
0,1331,1.0
0,1332,9.0
0,1333,4.0
0,1339,3.0
0,1340,2.0
0,1342,6.0
0,1343,1.0
0,1345,1.0
0,1347,1.0
0,1356,8.0
0,1357,9.0
0,1358,2.0
0,1359,3.0
0,1362,22.0
0,1371,7.0
0,1372,5.0
0,1375,19.0
0,1378,2.0
0,1381,1.0
0,1382,1.0
0,1397,6.0
0,1409,30.0
0,1410,9.0
0,1418,127.0
0,1419,5.0
0,1420,142.0
0,1423,33.0
0,1430,3.0
0,1438,26.0
0,1442,1.0
0,1443,2.0
0,1452,2.0
0,1455,4.0
0,1463,27.0
0,1467,39.0
0,1470,781.0
0,1471,288.0
0,1472,187.0
0,1475,198.0
0,1481,128.0
0,1482,78.0
0,1520,21.0
0,1523,119.0
0,1524,71.0
0,1525,19.0
0,1528,74.0
0,1530,10.0
0,1531,4.0
0,1536,7.0
0,1590,-12.0
0,1591,1.0
0,1592,1.0
0,1593,4.0
0,1594,1.0
0,1595,16.0
0,1596,4.0
0,1597,9.0
0,1598,20.0
0,1600,2.0
0,1602,1.0
0,1603,4.0
0,1604,3.0
0,1605,1.0
0,1606,4.0
0,1607,2.0
0,1609,1.0
0,1611,9.0
0,1616,1.0
0,1621,4.0
0,1624,24.0
0,1627,4.0
0,1628,0.0
0,1629,1.0
0,1630,2.0
0,1631,1.0
0,1635,3.0
0,1637,2.0
0,1641,3.0
0,1644,1.0
0,1645,2.0
0,1646,1.0
0,1647,1.0
0,1648,2.0
0,1649,1.0
0,1650,2.0
0,1651,6.0
0,1653,3.0
0,1656,2.0
0,1658,1.0
0,1660,1.0
0,1661,1.0
0,1665,6.0
0,1667,1.0
0,1671,4.0
0,1675,15.0
0,1676,14.0
0,1677,2.0
0,1678,1.0
0,1681,1.0
0,1684,1.0
0,1697,1.0
0,1701,1.0
0,1710,1.0
0,1712,10.0
0,1713,2.0
0,1715,14.0
0,1718,5.0
0,1720,4.0
0,1722,11.0
0,1729,15.0
0,1731,6.0
0,1736,5.0
